id,y1,y2,y3,y4,gen,race,birth_year,age,income
420,80,75,90,50,0,0,1980,17,92620.9166666667
421,0,99,100,100,0,0,1982,15,35692.3076923077
422,,100,95,100,0,1,1981,16,32927.2727272727
423,,0,100,100,1,1,1984,13,17731.4285714286
424,0,50,1,0,1,1,1984,13,45430
425,75,90,95,100,1,0,1982,15,37001
426,51,100,0,0,1,1,1980,17,10945.4545454545
427,100,50,0,,0,1,1981,16,26714.2857142857
428,0,2,60,100,1,1,1984,13,38285.7142857143
429,,75,50,50,0,0,1981,16,1000
430,0,0,50,0,0,0,1983,14,24500
431,90,0,100,100,1,1,1984,13,
432,0,100,100,10,0,1,1981,16,72760.7
433,95,0,90,0,1,1,1984,13,28833.3333333333
434,60,70,100,30,0,0,1982,15,37251.6666666667
435,0,100,0,,1,1,1981,16,42857.1428571429
436,0,,,,1,1,1982,15,200
437,99,100,100,100,1,1,1981,16,22505.5
438,90,95,40,90,0,1,1983,14,27111.1111111111
439,99,0,6,100,1,1,1984,13,11400
440,30,25,0,0,0,1,1980,17,25181.8181818182
441,0,60,99,30,0,1,1982,15,23227.2727272727
442,0,0,100,0,1,1,1981,16,10206
443,0,0,0,10,0,1,1980,17,10881.8181818182
444,0,0,0,0,1,1,1982,15,14000
445,90,,,,0,1,1981,16,24083.3333333333
446,50,99,100,56,0,1,1983,14,40538.4615384615
447,50,30,0,20,1,1,1983,14,86612.75
448,0,0,0,2,1,1,1983,14,10000
449,90,100,50,25,1,1,1984,13,
450,65,,80,100,1,1,1980,17,15166.6666666667
451,20,,,0,0,1,1983,14,30533.3333333333
452,25,,100,,1,1,1981,16,5884
453,0,,100,,1,1,1982,15,6500
454,100,100,100,100,0,1,1982,15,23454.5454545455
455,100,50,100,100,0,1,1984,13,29097.4545454545
456,90,70,30,50,0,1,1983,14,44576.9230769231
457,0,100,40,99,0,1,1980,17,21555.5555555556
458,90,80,99,98,0,1,1982,15,48384.6153846154
459,99,100,100,100,1,1,1983,14,5200
460,0,0,100,100,1,1,1981,16,13160
461,0,100,100,100,1,1,1983,14,10042.8571428571
462,0,0,0,0,1,1,1981,16,11660
463,100,50,50,50,0,1,1982,15,8028.57142857143
464,99,99,0,0,1,1,1981,16,29272.7272727273
465,100,100,100,100,1,1,1984,13,26800
466,85,60,2,40,0,1,1983,14,40916.6666666667
