y1,y2,y3,y4,x1,x2,x3,x4,gen
80,99,100,100,50,30,5,0,0
90,30,100,95,5,0,5,0,0
0,100,100,100,30,0,0,0,0
50,80,0,99,15,5,60,1,0
100,,100,0,0,,0,0,0
100,100,80,25,0,5,20,25,0
75,50,50,,0,0,0,,0
75,100,99,50,35,0,0,0,1
65,20,50,0,50,56,0,50,0
100,50,85,99,50,55,25,10,1
0,45,30,1,0,1,6,3,1
100,0,50,90,0,0,20,0,0
75,0,10,60,90,0,90,60,0
99,100,80,75,0,20,30,10,1
0,10,100,50,0,5,100,100,1
100,100,1,100,35,0,0,0,0
0,0,50,50,85,100,100,15,1
6,,100,5,0,20,10,10,0
0,50,0,50,100,99,50,50,1
0,0,100,0,90,0,100,0,0
0,0,89,100,5,30,0,0,0
0,0,5,,100,0,90,,1
80,90,99,90,60,25,95,50,1
50,75,50,50,25,10,25,20,1
,90,100,100,,90,90,10,1
50,,75,0,0,,0,100,0
70,50,50,70,20,0,60,20,0
80,75,90,50,40,,10,10,0
0,99,100,100,0,0,0,0,0
,100,95,100,,5,5,98,0
,0,100,100,,100,0,100,1
0,50,1,0,,50,98,50,1
75,90,95,100,15,10,0,0,1
51,100,0,0,50,0,0,0,1
100,50,0,,0,20,0,,0
0,2,60,100,0,0,0,0,1
,75,50,50,,50,50,25,0
0,0,50,0,50,0,0,100,0
90,0,100,100,40,90,60,0,1
0,100,100,10,90,50,0,80,0
95,0,90,0,90,95,10,100,1
60,70,100,30,0,30,5,2,0
0,100,0,,99,55,99,,1
0,,,,80,,,,1
99,100,100,100,20,10,50,15,1
90,95,40,90,10,10,30,40,0
99,0,6,100,3,1,70,50,1
30,25,0,0,60,50,70,50,0
0,60,99,30,50,0,0,0,0
0,0,100,0,10,65,0,100,1
0,0,0,10,0,50,0,0,0
0,0,0,0,0,100,0,50,1
90,,,,20,,,,0
50,99,100,56,20,1,15,0,0
50,30,0,20,100,20,0,40,1
0,0,0,2,0,0,0,0,1
90,100,50,25,10,0,0,25,1
65,,80,100,50,,10,0,1
20,,,0,50,,,0,0
25,,100,,0,,10,,1
0,,100,,0,,10,,1
100,100,100,100,0,0,0,0,0
100,50,100,100,10,0,100,90,0
90,70,30,50,80,50,10,70,0
0,100,40,99,75,50,80,0,0
90,80,99,98,25,90,50,40,0
99,100,100,100,75,99,1,0,1
0,0,100,100,0,0,100,100,1
0,100,100,100,0,90,100,99,1
0,0,0,0,0,100,0,0,1
100,50,50,50,50,0,0,0,0
99,99,0,0,75,99,0,0,1
100,100,100,100,50,50,0,0,1
85,60,2,40,85,20,8,50,0
80,80,50,50,70,50,10,50,1
0,0,0,0,0,100,2,90,1
50,0,0,0,20,3,100,90,1
0,0,100,0,0,0,0,50,1
0,50,100,50,0,90,0,0,0
0,0,0,0,0,0,0,0,1
0,,0,50,10,,0,50,1
0,0,0,0,0,0,0,0,1
50,3,10,100,100,1,89,2,0
75,100,0,100,0,100,100,0,0
95,0,99,65,95,50,1,20,1
99,99,90,100,0,0,0,0,1
0,0,0,0,10,0,12,2,1
0,0,100,0,25,0,20,100,1
50,75,75,100,60,10,10,0,0
0,0,0,0,0,100,100,100,0
90,90,70,40,5,1,10,20,0
100,100,100,0,80,95,0,0,1
0,75,99,,25,,1,,0
90,95,90,0,20,25,45,90,1
100,100,90,5,100,100,100,98,0
0,0,100,90,10,0,0,0,1
75,75,25,75,25,10,25,0,1
75,76,70,80,50,50,30,25,0
100,69,,100,100,56,,1,0
95,100,100,40,90,10,50,80,1
85,,,,5,,,,0
,0,0,0,,25,100,100,1
,0,100,100,,0,100,0,0
100,0,99,95,30,99,50,75,0
100,100,100,0,50,35,30,70,1
75,100,99,90,1,0,0,0,1
0,0,50,,50,50,25,,1
99,99,75,,0,1,20,,0
90,100,,,25,,,,0
50,90,80,75,50,10,50,25,0
0,90,,0,100,50,,,0
99,0,100,100,0,,0,15,1
2,20,0,0,99,99,99,0,0
80,25,50,75,35,50,48,0,0
100,100,80,90,1,100,30,5,1
90,100,50,100,20,50,10,20,0
99,100,99,100,10,1,44,50,1
80,99,1,1,40,9,1,1,0
,50,0,75,,40,0,20,0
100,,100,100,1,,0,75,1
0,6,5,50,29,49,0,20,0
0,,,,70,,,,1
0,50,50,95,100,50,50,0,1
95,100,100,100,0,0,0,0,0
80,75,99,50,30,10,0,10,0
100,100,0,,90,0,3,0,1
100,,0,0,100,1,0,0,1
10,90,70,80,10,0,20,13,0
100,95,100,50,100,25,100,25,0
,0,100,100,,80,98,0,0
100,100,50,10,50,0,50,50,1
50,50,50,60,50,0,50,50,0
90,75,50,10,9,0,0,0,0
50,5,0,0,0,95,50,0,0
75,90,100,99,5,0,5,99,0
0,0,0,100,0,0,,,1
0,0,0,0,100,100,100,100,1
90,,,,,,,,1
95,,,,35,,,,1
75,75,,,0,0,,,1
1,0,0,50,1,50,100,0,1
75,100,0,50,10,0,100,0,1
75,0,0,0,0,0,100,100,1
3,5,45,25,2,1,25,50,0
85,100,85,,90,0,0,0,0
1,0,0,0,1,0,,0,1
90,75,,50,10,0,,,0
80,99,100,100,60,10,15,,1
100,99,80,,0,0,30,,1
0,50,100,100,100,90,75,10,1
100,100,80,50,50,5,40,15,0
95,99,100,70,25,3,0,5,0
100,100,100,100,1,100,100,0,0
10,50,0,10,10,25,50,0,0
100,0,60,75,20,40,60,40,0
25,20,0,20,25,,0,98,1
50,,100,100,10,,0,0,0
85,10,90,90,25,50,10,30,0
50,100,75,75,50,10,50,60,0
34,0,,,0,55,,,0
100,100,100,,0,0,75,,0
,,,,,,,,0
80,100,100,97,30,50,2,5,0
100,100,70,99,50,0,50,10,1
100,100,100,100,0,5,5,0,1
95,98,90,95,80,50,80,95,0
100,99,100,100,20,100,55,0,1
100,100,99,99,0,50,0,0,1
10,40,50,50,10,30,60,30,0
100,90,90,0,100,40,0,99,1
0,0,0,0,0,100,0,1,0
99,99,100,75,3,1,100,1,0
100,80,80,80,0,0,0,5,0
100,100,100,0,50,50,0,10,1
100,10,30,50,50,5,30,20,0
100,100,50,100,50,50,10,90,0
50,50,,,50,50,,,0
100,100,,100,100,50,,50,1
99,0,100,100,0,0,0,50,0
99,100,100,100,99,0,0,50,0
100,100,100,100,0,0,70,10,1
100,100,99,0,0,0,99,0,1
,1,100,100,,2,20,100,0
75,50,100,0,50,30,10,50,0
100,100,0,100,50,0,0,75,0
99,0,99,100,0,0,77,50,0
96,100,100,100,12,50,0,0,1
100,0,68,0,15,44,0,70,0
90,60,100,100,50,60,20,100,0
100,100,0,0,95,50,0,10,1
95,95,69,95,80,5,0,56,1
100,100,100,100,95,60,50,50,1
80,100,100,100,20,50,70,0,1
89,100,100,75,10,0,10,0,0
100,100,100,99,10,50,50,10,1
0,1,100,0,0,1,100,2,0
100,99,100,100,50,50,0,0,0
89,99,99,100,5,10,1,10,0
50,100,50,50,50,100,10,0,1
0,0,0,0,100,100,50,,1
0,,100,,0,,0,,1
100,100,90,100,100,3,0,70,1
0,90,0,0,55,0,50,0,1
30,30,20,,40,70,70,,1
50,90,100,,50,90,0,,1
75,80,99,100,5,20,90,89,0
90,100,100,100,0,50,90,60,1
0,25,50,0,0,90,50,75,0
0,,,,100,,,,1
50,0,,0,75,0,,0,1
100,100,100,10,50,50,10,10,0
0,0,0,0,99,100,100,100,1
0,21,50,50,10,50,50,50,1
0,50,98,100,0,1,0,25,0
80,50,80,100,2,0,0,0,1
90,100,100,100,10,0,0,0,0
99,98,99,100,10,2,1,80,1
50,100,0,100,0,25,0,0,1
