id,a13,a14,a15,a16,a17,a18,a19,a20,gen,race,income,birth_year,age
223,,,,45,30,25,100,,0,1,9.42668220119867,1981,16
224,,,75,99,0,80,,,1,0,9.78875162530206,1982,15
225,,,,,100,99,100,100,0,0,10.7209799085272,1980,17
226,,,,100,0,100,50,,1,1,9.16269414970208,1981,16
227,,,,,,100,0,,1,1,9.24096345844571,1980,17
228,1,0,0,0,,,,,0,0,10.1012221979635,1984,13
229,0,75,90,90,,,,,1,0,10.0820745375438,1984,13
230,99,75,0,0,,,,,0,1,10.2766149619063,1984,13
231,,,,,0,15,0,50,0,1,9.39209426082614,1980,17
232,0,0,100,0,,,,,0,1,9.83485853847615,1984,13
233,,,,,50,50,50,0,0,1,10.3358057634622,1980,17
234,,75,75,50,55,,,,1,1,9.56067699556598,1983,14
235,,,,100,99,100,100,,1,0,10.6715470685773,1981,16
236,100,99,99,97,,,,,1,1,9.21378387120909,1984,13
237,,50,50,50,,,,,0,0,10.2519192263409,1983,14
238,,,,100,100,0,0,,1,0,9.02415156899071,1981,16
239,,,,,99,100,50,,0,0,8.88298318488524,1980,17
240,,100,100,100,95,,,,1,0,10.3180391119664,1983,14
241,,50,0,0,100,,,,1,1,10.0659561897604,1983,14
242,0,0,100,0,,,,,0,1,9.64810525313099,1984,13
243,,0,100,0,0,,,,1,1,8.69176700236002,1983,14
244,,75,90,90,80,,,,0,1,10.1189585434372,1983,14
245,50,100,100,90,,,,,1,0,9.75242942280839,1984,13
246,,,,,90,50,,,0,1,10.9500470366474,1980,17
247,,,70,0,0,0,,,0,0,10.2943803920682,1982,15
248,,100,50,100,100,,,,1,0,9.83394147237127,1983,14
249,,,,0,,,,,0,0,10.4685571398438,1981,16
250,,,,89,,,,,0,0,8.48477959596605,1981,16
251,,,80,100,80,50,,,0,1,10.8413104593189,1982,15
252,0,50,50,50,,,,,1,1,9.17114765996699,1984,13
253,80,,,100,,,,,1,0,10.8260252514387,1984,13
254,,,,0,0,0,0,,0,0,10.6903371215709,1981,16
255,,0,75,55,60,,,,1,0,10.8346459693548,1983,14
256,,,,,50,,,50,0,0,9.7890278080579,1980,17
257,99,70,0,60,,,,,0,0,9.92199029735741,1984,13
258,,,0,90,0,100,,,0,0,9.93060585204825,1982,15
259,,,,100,95,90,,,0,0,9.82338573368665,1981,16
260,,,,,50,0,100,50,0,1,8.20588536605371,1980,17
261,,100,99,100,100,,,,0,1,9.12261009374037,1983,14
262,,,,,0,0,1,0,0,1,9.23662483442699,1980,17
263,,0,0,0,0,,,,0,1,9.00257864737056,1983,14
264,,,75,50,0,100,,,0,0,9.96036330270338,1982,15
265,,1,39,99,100,,,,0,1,9.2880666764546,1983,14
266,,,,,50,0,95,100,1,0,10.7903003399371,1980,17
267,,,,,0,80,50,50,1,0,9.89847191550883,1980,17
268,,,,100,50,50,50,,0,1,10.4280369506084,1981,16
269,,,,,,0,100,,1,0,9.21500574552801,1981,16
270,98,50,0,35,,,,,1,0,8.77876723080187,1984,13
271,,,5,50,25,50,,,1,0,9.65877409130038,1982,15
272,,,75,100,80,0,,,1,1,7.71731878826221,1982,15
273,,100,100,100,20,,,,1,1,8.84831977830076,1983,14
274,,,,,50,0,,,1,1,9.72330197097883,1980,17
275,,,,,50,100,0,100,0,1,8.560525245784,1980,17
276,,,50,0,90,20,,,1,1,8.31365982681873,1982,15
277,100,100,50,,,,,,0,1,9.6036160446412,1984,13
278,,,,,100,0,0,0,0,0,10.7280592185013,1980,17
279,,,,75,50,75,,,0,0,11.1289895716146,1981,16
280,,0,0,90,50,,,,0,0,10.4894455939543,1983,14
281,15,100,80,50,,,,,0,1,10.1434349596909,1984,13
282,,,,,2,100,80,75,0,0,10.1749332249209,1980,17
283,90,,2,75,,,,,0,0,10.114971301714,1984,13
284,,,,20,90,0,0,,1,1,10.1607969771369,1981,16
285,,,,100,99,0,85,,0,0,10.666080015551,1981,16
286,100,75,95,99,,,,,1,0,9.41490584262889,1984,13
287,,,,,100,50,50,0,0,0,10.6666794696174,1980,17
288,,0,50,50,50,,,,1,0,10.1230602451678,1983,14
289,75,75,50,100,,,,,1,0,9.87626814786706,1984,13
290,3,0,0,0,,,,,1,0,9.91671050979117,1984,13
291,,,,,25,45,0,100,1,0,9.82616744964145,1980,17
292,50,90,100,100,,,,,1,1,10.3988877140525,1984,13
293,,99,100,100,100,,,,1,1,9.30166592428296,1983,14
294,,,0,100,100,0,,,0,1,10.6389733417869,1982,15
295,80,80,0,0,,,,,1,1,10.0665011870964,1984,13
296,,,,1,0,100,100,,1,1,9.71286007807618,1981,16
297,0,100,9,0,,,,,0,1,10.3196876919782,1984,13
298,,86,70,75,25,,,,1,0,10.183960690422,1983,14
299,,,,90,85,,,,0,0,8.9943865633268,1981,16
300,100,90,90,90,,,,,1,0,8.88258492303669,1984,13
301,,,,75,90,95,90,,1,0,10.4227622715281,1981,16
302,50,50,,,,,,,1,0,9.00186779024656,1984,13
303,,,,,0,,,0,1,0,10.358191715461,1980,17
304,,90,90,80,95,,,,0,0,10.4292380988933,1983,14
305,,80,95,0,0,,,,1,0,9.20734297539767,1983,14
306,,,,,100,15,50,0,1,0,9.54809412314011,1980,17
307,,,,,90,90,85,90,1,0,10.9968848344554,1980,17
308,,,,1,100,100,100,,0,0,7.94140566418725,1981,16
309,,,,100,0,0,0,,1,0,9.96163284446883,1981,16
310,,,0,0,0,,,,1,0,10.1314339677802,1982,15
311,,,0,0,90,0,,,0,0,10.4215055838857,1982,15
312,,,50,100,99,100,,,1,0,10.4272905361402,1982,15
313,,,,75,75,65,75,,1,0,10.1673955568644,1981,16
314,0,100,100,100,,,,,0,0,9.93016353734482,1984,13
315,,,100,100,100,100,,,1,0,9.62426877928569,1982,15
316,,,75,0,50,100,,,0,0,10.3972258583687,1982,15
317,,,,,100,75,,0,1,1,10.3960105104715,1980,17
318,,90,99,65,75,,,,0,0,10.7321286300288,1983,14
319,,100,,,,,,,1,0,8.3213274224233,1983,14
320,,,0,,90,0,,,1,0,9.79162965275935,1982,15
321,,,,80,75,75,50,,0,0,11.0655767416938,1981,16
322,,,0,0,0,20,,,1,0,10.0481090892594,1982,15
323,,,,,5,10,10,25,0,0,10.6282335095497,1980,17
324,,,,,100,100,100,,0,0,9.78167519629007,1980,17
