y1,y2,y3,y4,gen,race,income
75,100,100,0,0,1,42.1730804543749
90,0,100,100,1,0,48.6242610785792
75,0,100,90,0,0,52.504052490182
75,100,100,0,0,0,51.5343539915175
90,100,75,0,0,1,49.9265167110773
75,100,100,100,1,0,51.4283338676665
85,0,60,75,1,0,44.8893147136075
40,70,45,35,0,0,50.240735546535
5,87,100,100,1,1,53.086185141321
40,50,30,25,0,1,50.808737524329
90,50,100,50,1,0,51.6759496691345
99,89,100,90,1,0,39.1899798770638
5,100,100,75,0,0,54.6951168897795
0,80,90,80,1,0,55.5779946247815
100,100,100,100,1,0,51.014233793355
50,95,0,99,1,0,48.8780231737862
0,0,75,0,0,1,52.5572350577625
75,50,99,0,0,0,48.0469769819445
50,94,95,1,0,1,51.005155683119
100,30,0,100,1,1,45.5570286262089
0,0,100,80,1,1,53.635378741175
100,100,0,100,1,1,43.1437698155831
25,25,89,75,0,0,54.438237543626
0,0,50,50,0,1,49.9541549452015
10,0,50,50,1,0,48.8872441037214
50,0,100,100,1,0,53.1354757479405
5,100,90,0,1,1,54.9733820735795
79,35,0,0,0,1,53.933617531056
80,80,80,70,1,0,44.5195850902993
100,0,20,100,0,1,53.241740077163
100,94,100,100,1,0,52.228311641016
95,100,100,98,0,0,57.3348128315555
100,100,100,100,1,0,56.484822568532
99,100,100,100,1,0,54.030293512068
95,2,70,0,0,0,53.1838943985315
80,0,80,100,0,0,48.7633460728445
0,75,70,90,0,0,53.8213758390475
0,100,99,100,0,0,57.0067642900565
100,30,89,75,1,1,40.4282053118365
50,100,80,100,1,1,45.2365698869829
100,100,99,100,0,0,52.0680977760915
2,80,100,20,0,0,56.4255960496285
50,90,25,50,0,0,46.6534290230675
50,99,99,50,0,1,52.914691615756
70,90,100,50,0,0,54.261823711538
10,25,25,0,0,0,54.0483618941725
0,50,0,0,0,0,52.430447461062
100,99,90,50,1,0,46.0282222518416
100,100,50,50,0,0,49.1933847692015
98,75,50,99,1,0,52.528019832009
91,65,97,70,0,0,52.0160164318185
0,90,50,100,0,0,53.137295075874
100,100,90,85,1,0,51.8421521341
0,100,50,100,0,0,53.1841999035885
50,100,0,100,1,0,51.0889581134335
0,100,100,100,1,0,37.8381953919584
100,0,50,0,0,0,50.788111663846
50,0,50,50,0,0,52.143223854089
0,0,100,100,1,1,47.3991028635407
25,0,0,0,0,0,53.1098243513475
0,30,50,99,1,0,45.5078716527898
0,0,0,0,0,1,47.6815583831223
50,100,95,100,1,0,52.0006185590245
60,25,50,0,0,0,50.995554827652
0,100,100,100,1,0,52.7307433955745
100,100,100,100,1,0,50.6606386769655
100,90,0,0,1,0,46.0531717879765
0,0,100,0,0,0,45.5637058167599
90,25,25,75,0,0,52.287551959348
0,0,0,50,1,1,48.650356322981
0,0,0,0,1,0,51.6208065161995
0,0,100,99,1,0,50.098413608531
